EmployeeNumber,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
1139,50,Non-Travel,668,Research & Development,24,4,Life Sciences,3,Male,67,1,1,Human Resources,4,Divorced,7772,22828,0,Yes,19,3,4,0,37,4,3,9,9,4,10,No
1140,45,Non-Travel,945,Sales,16,4,Human Resources,3,Male,91,2,5,Manufacturing Director,3,Single,10481,19171,8,No,22,3,3,0,15,3,3,31,13,4,5,No
1141,25,Travel_Frequently,1192,Human Resources,9,2,Medical,4,Female,77,4,1,Human Resources,4,Single,16737,3545,9,No,16,3,3,2,36,6,4,27,5,7,15,Yes
1142,51,Non-Travel,217,Research & Development,15,2,Life Sciences,4,Female,39,4,1,Healthcare Representative,2,Divorced,18246,15359,0,No,13,4,2,0,37,5,3,9,3,8,16,Yes
1143,52,Travel_Rarely,987,Human Resources,27,3,Human Resources,4,Female,65,4,3,Sales Representative,3,Married,11677,15146,2,Yes,15,3,2,2,35,2,2,7,9,7,10,No
1144,49,Travel_Frequently,1182,Sales,28,2,Technical Degree,2,Female,58,4,1,Healthcare Representative,2,Divorced,3355,26945,5,No,18,4,1,3,28,1,2,32,10,13,13,No
1145,41,Non-Travel,1156,Research & Development,17,1,Marketing,2,Male,33,4,5,Research Scientist,1,Divorced,10157,15498,5,Yes,24,4,4,3,34,3,1,12,15,12,11,No
1146,31,Travel_Rarely,1441,Research & Development,14,1,Technical Degree,3,Female,73,1,3,Manager,1,Divorced,3395,15171,9,Yes,18,4,3,0,36,2,4,34,6,1,6,No
1147,49,Travel_Frequently,149,Sales,27,4,Other,3,Male,85,4,1,Sales Representative,4,Married,1524,16202,3,No,16,4,1,0,20,5,2,28,17,3,16,No
1148,33,Travel_Frequently,118,Research & Development,18,1,Technical Degree,1,Female,71,4,3,Manager,2,Single,1561,6374,1,Yes,15,3,4,0,20,3,2,4,6,1,4,No
1149,21,Non-Travel,825,Sales,26,3,Life Sciences,1,Male,42,2,4,Laboratory Technician,2,Single,9167,23831,9,Yes,15,3,3,0,27,6,4,2,14,5,13,No
1150,54,Travel_Frequently,296,Research & Development,2,2,Human Resources,3,Male,75,4,3,Research Director,4,Divorced,17184,11849,5,Yes,11,3,4,1,5,4,3,36,17,3,12,No
1151,38,Travel_Rarely,658,Sales,4,2,Technical Degree,2,Male,62,3,4,Laboratory Technician,4,Divorced,5664,22439,9,No,12,3,2,1,19,0,2,5,14,14,11,No
1152,31,Travel_Frequently,551,Research & Development,18,2,Life Sciences,3,Male,50,1,4,Healthcare Representative,4,Single,2205,18990,4,No,22,3,3,3,35,4,3,15,17,6,13,No
1153,48,Travel_Rarely,388,Human Resources,7,1,Other,1,Male,86,1,3,Human Resources,1,Single,13039,15336,5,No,21,4,3,1,12,5,2,34,2,12,8,No
1154,35,Travel_Frequently,1264,Human Resources,13,2,Human Resources,2,Female,98,1,5,Healthcare Representative,4,Single,13393,4576,6,No,14,4,1,0,39,1,1,17,0,1,3,Yes
1155,24,Non-Travel,1207,Human Resources,15,4,Technical Degree,2,Male,99,3,5,Sales Representative,1,Married,3238,24953,8,No,16,4,4,2,10,4,3,10,0,8,0,No
1156,27,Travel_Rarely,490,Research & Development,25,4,Marketing,1,Female,96,4,5,Sales Representative,4,Married,18544,22508,6,No,21,4,2,3,23,5,2,22,6,13,12,No
1157,24,Travel_Frequently,314,Research & Development,23,4,Marketing,3,Female,77,1,2,Healthcare Representative,2,Divorced,13987,7051,3,No,17,3,2,0,18,0,4,10,9,4,5,No
1158,50,Travel_Frequently,314,Human Resources,28,1,Human Resources,4,Male,62,3,4,Research Scientist,2,Married,6239,18706,9,No,11,4,4,1,22,3,4,28,11,0,0,No
1159,40,Travel_Frequently,227,Human Resources,22,2,Marketing,3,Female,65,2,3,Healthcare Representative,4,Divorced,13017,12068,4,Yes,18,4,4,2,30,2,4,26,7,11,16,No
1160,38,Travel_Rarely,859,Sales,26,1,Technical Degree,3,Female,62,4,5,Sales Representative,4,Single,17455,18967,5,No,22,4,2,2,36,5,2,8,16,14,2,No
1161,36,Travel_Rarely,503,Sales,1,2,Technical Degree,1,Female,60,3,5,Sales Representative,1,Single,18138,23773,8,Yes,11,4,4,1,36,5,3,34,13,10,16,No
1162,36,Travel_Rarely,1152,Sales,11,3,Human Resources,2,Male,50,4,3,Manufacturing Director,3,Divorced,10096,13001,4,Yes,19,4,1,0,2,6,1,8,16,2,1,No
1163,53,Non-Travel,437,Human Resources,10,3,Technical Degree,1,Male,56,2,4,Sales Executive,1,Single,15814,10847,4,No,14,4,4,2,33,1,1,17,5,3,6,Yes
1164,46,Non-Travel,930,Human Resources,25,1,Life Sciences,3,Male,91,3,3,Manager,2,Divorced,14291,6881,6,Yes,22,3,1,2,28,3,2,20,16,2,0,Yes
1165,35,Travel_Rarely,813,Human Resources,5,4,Other,4,Male,55,4,2,Laboratory Technician,4,Divorced,3621,10414,1,Yes,17,3,1,1,2,5,2,35,7,5,14,No
1166,19,Travel_Frequently,460,Sales,16,1,Marketing,4,Female,95,3,2,Healthcare Representative,2,Divorced,4190,20506,2,No,21,4,4,2,14,5,2,0,12,12,3,No
1167,18,Non-Travel,668,Research & Development,11,4,Life Sciences,4,Female,41,1,3,Manufacturing Director,3,Married,4948,9699,1,Yes,24,4,3,2,6,2,3,26,15,12,5,No
1168,22,Travel_Rarely,317,Human Resources,21,2,Human Resources,1,Female,51,4,4,Research Scientist,1,Divorced,2287,26180,9,No,16,4,3,2,2,0,4,39,11,5,12,No
1169,37,Travel_Frequently,301,Research & Development,6,4,Marketing,2,Female,46,3,5,Sales Representative,2,Divorced,15590,18045,9,Yes,23,4,1,3,15,4,3,37,16,9,12,Yes
1170,28,Non-Travel,116,Research & Development,9,4,Life Sciences,1,Female,36,1,2,Healthcare Representative,1,Divorced,16668,20604,1,Yes,19,4,4,0,33,6,3,28,17,12,0,Yes
1171,59,Travel_Frequently,421,Research & Development,13,2,Technical Degree,4,Female,97,2,2,Sales Representative,4,Married,2772,7123,2,No,24,3,1,0,19,3,2,39,7,14,1,No
1172,19,Travel_Frequently,617,Sales,24,3,Human Resources,3,Male,66,4,4,Human Resources,2,Single,7200,18211,5,Yes,12,3,4,1,38,2,1,18,17,10,5,Yes
1173,20,Travel_Frequently,1448,Research & Development,8,2,Human Resources,2,Female,67,4,2,Manufacturing Director,3,Married,16762,5550,4,Yes,21,4,4,0,32,2,3,23,10,6,10,Yes
1174,40,Travel_Frequently,1441,Human Resources,14,1,Marketing,1,Female,40,2,2,Healthcare Representative,1,Divorced,4138,24163,4,No,17,3,2,2,13,4,1,0,12,13,12,No
1175,29,Non-Travel,780,Sales,24,1,Technical Degree,1,Female,30,1,4,Human Resources,1,Married,8213,12634,1,No,21,4,3,0,34,3,2,35,11,8,11,Yes
1176,37,Non-Travel,1205,Human Resources,1,1,Marketing,2,Male,54,2,3,Manufacturing Director,3,Single,15941,23312,1,Yes,15,4,3,3,10,3,3,22,14,9,6,No
1177,22,Non-Travel,524,Human Resources,17,1,Medical,2,Female,71,4,5,Healthcare Representative,2,Single,3416,14177,0,Yes,23,3,2,2,19,6,4,12,2,8,6,No
1178,54,Travel_Rarely,1327,Sales,24,1,Life Sciences,3,Female,81,3,5,Healthcare Representative,2,Divorced,16964,2166,2,No,17,3,2,2,29,0,4,29,2,6,6,No
1179,55,Non-Travel,1118,Human Resources,5,3,Medical,2,Male,53,1,2,Research Director,1,Single,18968,24827,6,Yes,11,3,2,3,27,3,3,36,5,10,1,Yes
1180,47,Travel_Frequently,486,Human Resources,25,3,Life Sciences,3,Female,82,1,5,Manufacturing Director,3,Married,2046,10309,4,No,21,3,1,3,14,6,4,10,2,14,10,No
1181,26,Non-Travel,877,Sales,2,4,Other,4,Male,85,1,3,Manufacturing Director,1,Married,15909,25039,6,No,21,4,1,0,37,5,3,6,8,0,0,No
1182,51,Travel_Frequently,197,Human Resources,25,1,Human Resources,4,Male,92,2,2,Sales Representative,1,Single,14578,12001,8,No,20,3,1,0,12,4,4,34,10,2,12,Yes
1183,52,Travel_Rarely,1468,Research & Development,28,2,Marketing,1,Female,37,2,5,Healthcare Representative,4,Divorced,19549,25726,5,Yes,19,3,1,0,34,3,2,10,7,4,11,Yes
1184,39,Travel_Frequently,307,Human Resources,24,1,Other,4,Female,88,3,1,Manager,2,Divorced,6719,4206,1,Yes,11,3,1,3,23,0,4,39,3,9,12,No
1185,41,Travel_Frequently,685,Research & Development,9,3,Other,4,Male,74,3,1,Manager,2,Married,16960,3250,0,Yes,24,4,3,0,0,2,4,20,14,11,6,Yes
1186,34,Travel_Frequently,265,Human Resources,4,1,Human Resources,3,Female,56,1,1,Manager,4,Single,18560,22390,0,No,15,4,3,1,23,5,2,2,4,10,11,No
1187,27,Travel_Rarely,121,Sales,17,3,Human Resources,1,Female,81,3,1,Healthcare Representative,2,Married,16598,6558,9,Yes,24,4,4,0,26,3,2,29,6,5,16,No
1188,47,Non-Travel,253,Sales,17,4,Life Sciences,2,Male,47,2,1,Healthcare Representative,2,Married,16624,11863,8,No,18,3,3,3,17,4,4,23,7,5,7,No
1189,40,Non-Travel,1418,Human Resources,21,4,Medical,1,Male,45,3,2,Human Resources,2,Married,7411,4151,5,Yes,11,3,2,3,25,3,1,37,6,4,2,Yes
1190,49,Travel_Rarely,318,Sales,18,4,Technical Degree,4,Female,95,2,4,Research Director,3,Divorced,9074,7077,5,No,17,3,3,1,28,6,1,2,7,5,6,No
1191,34,Travel_Frequently,768,Human Resources,16,3,Life Sciences,2,Male,34,3,4,Manufacturing Director,4,Single,11352,17552,3,No,12,4,2,2,7,1,3,36,3,8,7,No
1192,34,Non-Travel,329,Sales,8,1,Technical Degree,1,Female,32,4,2,Sales Representative,1,Single,16003,4297,1,Yes,17,3,3,1,25,0,4,32,0,12,13,No
1193,31,Travel_Rarely,119,Research & Development,26,1,Other,1,Female,99,2,2,Research Director,3,Divorced,10223,11228,9,No,17,3,1,3,4,2,3,21,4,13,13,No
1194,26,Non-Travel,652,Human Resources,11,2,Technical Degree,1,Female,36,4,3,Human Resources,1,Married,13718,4614,2,Yes,19,4,3,2,32,1,2,30,10,0,1,Yes
1195,57,Travel_Rarely,1049,Research & Development,21,3,Medical,1,Female,79,2,4,Healthcare Representative,4,Married,2315,3879,2,Yes,16,3,4,1,39,4,4,11,3,0,5,Yes
1196,19,Travel_Frequently,247,Research & Development,21,2,Life Sciences,3,Male,43,3,1,Laboratory Technician,4,Divorced,18276,2620,7,Yes,14,3,1,1,4,3,2,13,1,8,15,No
1197,42,Non-Travel,1231,Human Resources,18,4,Human Resources,1,Female,67,4,2,Manufacturing Director,4,Single,9936,25082,5,Yes,17,3,1,2,35,0,4,11,16,13,8,No
1198,56,Travel_Rarely,502,Research & Development,23,1,Medical,4,Male,76,3,1,Manager,2,Divorced,14767,23891,6,Yes,17,3,4,1,12,5,4,26,11,7,14,No
1199,26,Non-Travel,695,Human Resources,29,3,Medical,4,Female,62,2,4,Healthcare Representative,3,Single,7466,10262,8,No,14,4,3,2,16,6,2,12,1,8,14,No
1200,39,Non-Travel,466,Research & Development,24,2,Life Sciences,3,Female,72,4,5,Human Resources,4,Single,16185,20187,0,Yes,12,4,3,0,12,6,4,23,8,6,11,No
1201,21,Non-Travel,1432,Human Resources,10,2,Human Resources,2,Male,58,1,5,Laboratory Technician,1,Single,6090,25500,1,No,23,4,4,2,24,3,4,37,5,9,8,No
1202,43,Non-Travel,901,Human Resources,13,2,Medical,2,Female,86,3,2,Research Scientist,2,Married,5240,22917,8,Yes,21,3,1,1,1,3,3,8,5,5,15,No
1203,46,Travel_Rarely,1017,Sales,17,1,Human Resources,4,Male,34,2,3,Manager,2,Married,17795,3925,4,No,19,3,4,0,23,3,2,7,17,8,5,No
1204,51,Travel_Frequently,1257,Human Resources,18,1,Marketing,4,Male,89,4,1,Sales Representative,3,Divorced,15910,19421,3,No,24,4,2,3,35,5,1,36,2,1,14,No
1205,40,Travel_Rarely,1406,Human Resources,10,1,Marketing,3,Female,99,3,2,Healthcare Representative,3,Divorced,3446,21567,0,Yes,18,3,2,3,24,3,1,14,14,14,12,Yes
1206,54,Travel_Rarely,172,Research & Development,16,3,Marketing,2,Female,31,4,3,Sales Executive,3,Married,4346,12553,8,No,15,4,3,3,33,0,4,6,6,3,9,No
1207,28,Travel_Rarely,580,Human Resources,20,1,Technical Degree,2,Female,99,3,1,Laboratory Technician,2,Divorced,13411,11630,8,Yes,24,4,1,1,11,5,3,23,12,1,13,No
1208,23,Travel_Frequently,1475,Sales,5,3,Medical,1,Female,72,3,4,Laboratory Technician,4,Married,17469,14003,3,Yes,15,3,2,0,18,5,4,15,9,13,2,No
1209,35,Non-Travel,659,Research & Development,13,2,Life Sciences,1,Male,33,3,5,Manufacturing Director,1,Married,8749,10676,8,Yes,11,4,4,2,29,1,3,23,3,5,11,No
1210,38,Non-Travel,1449,Research & Development,18,2,Life Sciences,1,Female,85,4,3,Manager,4,Single,5142,22648,9,No,21,4,3,3,36,4,4,6,15,0,0,No
1211,59,Non-Travel,844,Sales,17,4,Technical Degree,3,Female,88,4,1,Healthcare Representative,1,Single,17070,6898,0,No,19,4,3,3,0,5,1,27,8,6,15,No
1212,53,Travel_Frequently,199,Research & Development,9,1,Life Sciences,4,Female,38,3,2,Sales Executive,4,Married,15187,26821,4,No,21,4,1,0,2,1,2,1,9,6,9,No
1213,58,Non-Travel,1182,Research & Development,14,2,Marketing,3,Female,32,1,1,Manager,3,Single,8087,16601,0,No,24,4,2,0,25,0,3,33,16,6,8,No
1214,55,Travel_Frequently,607,Research & Development,17,1,Medical,2,Female,77,1,2,Human Resources,1,Married,16635,15136,3,Yes,20,4,3,0,14,4,4,37,0,13,0,No
1215,51,Non-Travel,357,Research & Development,29,3,Life Sciences,4,Male,72,1,5,Sales Executive,2,Single,16807,16578,4,Yes,21,3,4,1,27,5,4,2,12,3,9,Yes
1216,34,Non-Travel,512,Sales,4,2,Life Sciences,1,Female,30,2,5,Research Director,1,Divorced,11197,8121,2,No,18,4,2,0,3,2,3,0,3,14,6,No
1217,54,Travel_Rarely,1188,Sales,18,1,Other,3,Male,86,1,1,Research Director,2,Divorced,13271,7789,1,No,15,4,3,2,18,1,3,30,14,7,9,Yes
1218,42,Travel_Frequently,694,Research & Development,27,2,Other,3,Female,82,4,1,Laboratory Technician,4,Married,18187,21755,5,Yes,20,3,3,2,23,0,1,22,9,4,11,No
1219,55,Travel_Rarely,1277,Research & Development,20,2,Other,1,Female,45,1,2,Human Resources,3,Married,15724,18310,2,No,16,3,2,3,39,0,3,19,8,1,10,No
1220,29,Travel_Rarely,365,Sales,24,1,Medical,3,Female,80,4,2,Research Director,1,Single,10261,19734,9,Yes,22,4,2,2,5,0,4,15,7,4,8,Yes
1221,40,Travel_Rarely,920,Sales,24,2,Marketing,1,Male,84,2,3,Laboratory Technician,2,Single,14479,24098,0,No,20,3,1,0,15,6,1,31,5,11,4,No
1222,59,Travel_Frequently,1202,Sales,15,2,Human Resources,2,Female,30,4,3,Healthcare Representative,4,Married,16804,15134,4,No,21,3,4,2,31,4,1,16,9,9,3,No
1223,39,Travel_Frequently,1438,Research & Development,11,2,Marketing,4,Male,57,4,3,Laboratory Technician,3,Divorced,13333,22198,1,No,20,4,1,3,29,3,2,17,16,8,12,No
1224,38,Non-Travel,761,Research & Development,12,2,Marketing,2,Male,82,4,1,Healthcare Representative,3,Divorced,13827,25531,1,Yes,18,3,1,1,34,2,2,3,4,9,7,No
1225,44,Travel_Rarely,1046,Human Resources,9,3,Medical,2,Female,87,1,3,Human Resources,3,Married,10600,8485,3,Yes,16,4,4,2,7,4,2,34,13,0,15,No
1226,48,Non-Travel,659,Sales,13,2,Medical,1,Male,89,3,1,Manufacturing Director,4,Divorced,12932,11980,3,No,20,4,4,3,4,4,3,39,16,10,0,Yes
1227,23,Travel_Rarely,1016,Research & Development,15,4,Other,3,Female,88,4,5,Manager,4,Married,17648,5625,3,No,24,4,1,3,36,5,1,35,10,1,16,No
1228,44,Travel_Frequently,990,Sales,27,2,Life Sciences,2,Female,51,1,4,Laboratory Technician,4,Single,13040,13512,6,No,14,4,2,0,11,6,3,22,3,9,14,No
1229,57,Travel_Frequently,1371,Research & Development,15,1,Technical Degree,2,Male,37,1,5,Laboratory Technician,3,Divorced,17127,10951,0,No,13,3,4,3,24,1,1,14,16,7,14,No
1230,51,Travel_Frequently,967,Sales,28,4,Technical Degree,2,Female,78,1,1,Healthcare Representative,1,Divorced,13473,10117,7,No,17,4,1,2,32,2,4,12,1,12,5,No
1231,29,Travel_Rarely,709,Research & Development,5,3,Human Resources,3,Female,71,3,1,Research Director,2,Single,17709,10989,9,No,23,3,2,3,38,0,3,13,0,4,1,No
1232,24,Travel_Frequently,513,Human Resources,23,4,Life Sciences,3,Male,56,3,4,Research Director,4,Single,2206,18915,8,No,12,3,3,3,23,4,1,13,17,11,4,No
1233,27,Travel_Rarely,124,Human Resources,19,4,Human Resources,1,Male,68,3,2,Laboratory Technician,1,Divorced,10696,22521,9,No,17,4,2,0,10,2,2,36,6,8,6,No
1234,34,Non-Travel,383,Sales,26,4,Other,2,Male,54,3,2,Research Director,2,Divorced,14714,13608,5,Yes,11,4,1,0,34,1,2,4,5,5,8,Yes
1235,43,Travel_Rarely,980,Research & Development,20,1,Human Resources,4,Male,67,2,2,Research Director,3,Married,2440,2598,3,Yes,23,3,4,2,39,3,4,21,5,12,1,Yes
1236,38,Non-Travel,400,Research & Development,26,1,Life Sciences,3,Male,53,3,3,Laboratory Technician,1,Married,10147,9428,5,Yes,20,4,2,3,0,2,3,27,13,7,6,No
1237,45,Travel_Rarely,1191,Sales,25,1,Life Sciences,1,Male,53,3,2,Research Scientist,3,Divorced,17267,26881,9,Yes,15,4,2,1,7,6,1,3,11,14,13,No
1238,19,Non-Travel,1130,Research & Development,26,3,Technical Degree,2,Female,89,3,3,Research Scientist,2,Married,9746,6904,6,No,19,4,2,3,22,6,2,37,13,11,14,No
1239,18,Travel_Frequently,916,Sales,26,1,Other,4,Male,79,4,3,Human Resources,4,Single,6136,4909,5,Yes,23,3,4,1,19,0,1,28,13,0,11,Yes
1240,53,Non-Travel,1260,Research & Development,14,1,Medical,3,Male,95,4,2,Sales Representative,3,Married,12446,15551,0,Yes,23,3,4,2,31,6,3,36,11,8,3,No
1241,43,Travel_Frequently,1287,Sales,28,4,Human Resources,4,Female,43,3,2,Manager,1,Married,13331,19062,4,No,11,3,2,0,10,4,2,34,8,8,12,No
1242,46,Travel_Frequently,182,Research & Development,17,1,Technical Degree,3,Female,82,2,4,Sales Representative,4,Divorced,14188,21768,7,Yes,18,3,2,2,6,3,4,19,8,2,8,No
1243,38,Non-Travel,1196,Sales,18,2,Human Resources,1,Male,61,4,4,Research Director,1,Married,6819,10922,7,Yes,19,4,1,0,29,1,4,34,1,0,11,No
1244,28,Travel_Rarely,1360,Research & Development,21,1,Human Resources,4,Male,77,1,3,Sales Executive,2,Divorced,9069,4025,9,Yes,19,4,4,0,38,0,3,34,17,7,9,No
1245,57,Travel_Rarely,145,Human Resources,3,3,Medical,2,Female,68,4,4,Research Director,2,Divorced,13769,15220,8,Yes,18,3,2,3,12,3,3,19,4,7,8,No
1246,28,Travel_Rarely,717,Research & Development,2,3,Other,2,Male,69,1,3,Laboratory Technician,4,Divorced,19420,15190,3,Yes,14,3,4,3,2,5,1,1,11,11,6,No
1247,53,Travel_Rarely,1027,Sales,1,2,Life Sciences,3,Male,71,4,1,Laboratory Technician,1,Single,6560,22612,9,No,24,3,4,0,6,5,4,17,13,8,11,No
1248,56,Travel_Rarely,361,Human Resources,10,3,Marketing,2,Female,37,3,3,Manager,1,Married,13853,4766,5,No,24,3,4,1,12,1,3,29,12,13,15,No
1249,57,Travel_Frequently,275,Research & Development,19,3,Human Resources,4,Male,55,4,3,Manufacturing Director,1,Married,11459,20482,6,No,17,3,1,1,36,0,3,28,2,5,14,No
1250,52,Travel_Rarely,1289,Human Resources,17,4,Marketing,1,Female,41,3,4,Manufacturing Director,1,Married,4629,25145,4,Yes,11,4,3,3,24,6,4,38,14,8,6,No
1251,51,Travel_Frequently,756,Research & Development,12,2,Other,3,Male,72,3,1,Manufacturing Director,2,Divorced,12657,2391,7,Yes,17,3,4,2,22,4,1,21,14,11,7,No
1252,41,Travel_Frequently,941,Human Resources,1,4,Marketing,4,Female,80,4,5,Human Resources,1,Single,6314,12935,2,Yes,16,3,4,1,32,1,1,28,2,9,6,No
1253,39,Travel_Frequently,469,Sales,12,4,Human Resources,3,Female,92,1,5,Research Director,2,Divorced,19840,5784,7,No,15,4,2,0,4,6,4,9,14,8,10,No
1254,22,Non-Travel,153,Research & Development,17,1,Medical,1,Female,78,1,5,Laboratory Technician,1,Married,9662,25050,4,Yes,11,4,4,3,31,3,4,19,7,11,3,No
1255,50,Non-Travel,789,Research & Development,24,2,Marketing,3,Male,56,4,1,Sales Executive,1,Divorced,18754,22221,0,Yes,18,4,3,3,29,0,4,15,12,12,6,No
1256,53,Travel_Frequently,1464,Sales,3,1,Other,2,Female,38,3,2,Sales Executive,3,Divorced,8629,20069,5,Yes,20,3,4,0,30,5,4,5,9,3,12,No
1257,37,Non-Travel,1250,Human Resources,11,1,Other,2,Male,68,1,1,Sales Executive,3,Married,12324,24881,1,Yes,11,4,1,2,12,5,4,16,1,10,8,No
1258,36,Travel_Rarely,466,Sales,17,4,Medical,3,Female,94,2,4,Manufacturing Director,1,Divorced,18558,4914,6,No,11,3,2,0,4,2,3,5,10,4,6,No
1259,52,Travel_Rarely,1394,Sales,23,3,Marketing,1,Female,36,3,3,Manager,2,Divorced,17494,25500,8,No,24,3,3,2,22,0,2,21,8,5,15,No
1260,34,Travel_Frequently,743,Human Resources,26,2,Marketing,1,Female,96,4,3,Manufacturing Director,1,Single,7692,15243,2,Yes,13,4,1,3,0,3,4,17,8,5,4,Yes
1261,51,Travel_Rarely,478,Sales,3,3,Life Sciences,2,Male,39,3,4,Laboratory Technician,3,Divorced,10218,14282,9,No,23,3,3,2,9,3,2,31,5,9,6,No
1262,26,Travel_Frequently,172,Research & Development,8,4,Technical Degree,1,Male,82,2,4,Research Director,1,Single,12746,22110,3,No,18,3,2,0,26,2,1,27,9,1,5,Yes
1263,43,Travel_Frequently,1014,Research & Development,20,4,Other,3,Female,86,2,3,Research Director,3,Married,16372,14965,3,No,18,4,4,3,7,6,3,9,7,3,1,No
1264,19,Travel_Rarely,1371,Research & Development,4,4,Life Sciences,4,Male,56,1,2,Manager,1,Single,13631,13505,3,Yes,24,4,2,1,2,3,2,21,14,11,6,Yes
1265,26,Non-Travel,959,Sales,21,4,Other,3,Male,83,2,2,Human Resources,4,Divorced,2472,6951,2,No,17,4,2,3,18,6,1,27,5,8,8,Yes
1266,26,Travel_Rarely,142,Research & Development,22,4,Life Sciences,2,Male,33,3,2,Sales Executive,1,Married,15599,24442,4,No,15,4,4,0,1,6,1,14,6,14,12,Yes
1267,57,Travel_Rarely,476,Research & Development,7,4,Technical Degree,2,Female,52,1,4,Research Director,2,Divorced,5872,9655,8,Yes,18,4,1,0,30,0,1,28,16,6,16,Yes
1268,34,Travel_Frequently,1164,Research & Development,14,3,Life Sciences,2,Male,77,2,3,Manager,3,Divorced,11573,6610,7,No,12,4,3,3,9,6,4,6,3,8,16,No
1269,18,Travel_Frequently,269,Research & Development,14,1,Other,1,Female,71,1,3,Sales Executive,4,Single,14691,26205,9,No,18,4,1,3,15,5,3,33,7,5,14,No
1270,42,Travel_Frequently,311,Research & Development,4,3,Marketing,3,Female,32,1,3,Manufacturing Director,3,Divorced,12482,19468,1,No,22,4,4,3,36,1,1,31,12,10,14,No
1271,57,Travel_Frequently,138,Research & Development,16,2,Other,4,Female,32,4,1,Healthcare Representative,3,Single,5753,9583,8,Yes,21,4,3,2,19,5,4,1,13,6,10,No
1272,59,Non-Travel,468,Sales,24,3,Human Resources,3,Male,57,1,1,Sales Representative,2,Married,2833,19701,9,Yes,12,4,4,1,2,6,2,25,17,8,11,No
1273,42,Non-Travel,856,Research & Development,29,4,Medical,4,Female,92,1,5,Research Director,1,Married,6928,8880,1,No,20,3,1,2,34,5,3,10,16,13,16,No
1274,56,Non-Travel,250,Research & Development,22,3,Medical,3,Male,60,2,1,Human Resources,2,Divorced,9645,4349,6,Yes,15,3,2,0,33,0,2,24,17,11,11,Yes
1275,52,Travel_Frequently,1234,Human Resources,1,1,Human Resources,2,Male,39,3,2,Manager,1,Single,7816,25721,4,Yes,21,3,3,3,20,6,2,18,13,14,6,No
1276,20,Travel_Frequently,1170,Sales,17,2,Medical,4,Female,78,3,2,Human Resources,4,Divorced,18124,21077,6,Yes,23,4,4,2,35,3,4,19,10,3,6,No
1277,54,Travel_Frequently,1123,Sales,25,3,Medical,3,Female,50,2,2,Manufacturing Director,2,Divorced,8256,9208,4,No,14,3,3,2,31,2,2,32,9,8,9,No
1278,47,Non-Travel,836,Sales,10,1,Technical Degree,1,Female,82,3,2,Research Director,2,Divorced,19764,15720,5,No,23,3,3,0,17,2,3,16,12,14,15,No
1279,55,Travel_Frequently,1489,Sales,22,3,Marketing,1,Male,83,1,5,Laboratory Technician,3,Divorced,11549,8881,7,Yes,11,3,1,2,33,4,2,29,15,2,10,Yes
1280,51,Travel_Rarely,168,Research & Development,16,2,Marketing,3,Male,86,4,2,Manufacturing Director,2,Single,16062,5722,0,No,15,3,2,0,37,2,4,17,13,13,15,No
1281,29,Travel_Rarely,398,Research & Development,16,3,Other,2,Female,49,1,4,Manufacturing Director,1,Divorced,10635,22077,0,Yes,17,3,3,2,2,2,1,31,2,11,1,Yes
1282,36,Travel_Frequently,1043,Human Resources,26,4,Human Resources,4,Female,78,1,4,Manager,2,Married,10940,17332,4,Yes,11,4,1,1,2,3,4,39,17,13,1,Yes
1283,54,Travel_Rarely,901,Human Resources,8,3,Life Sciences,3,Male,36,4,4,Human Resources,2,Single,3401,22776,0,No,12,4,3,0,26,1,1,3,5,10,4,Yes
1284,34,Travel_Rarely,395,Sales,29,1,Other,1,Male,58,2,1,Manager,4,Divorced,14111,9224,2,Yes,22,4,2,1,1,1,2,31,2,11,13,Yes
1285,27,Non-Travel,302,Human Resources,7,3,Other,4,Female,77,1,3,Sales Executive,1,Single,12363,15229,9,Yes,24,3,3,2,2,3,1,18,2,13,7,No
1286,29,Travel_Frequently,160,Human Resources,28,1,Other,1,Male,42,1,5,Healthcare Representative,3,Divorced,13432,9802,8,Yes,19,3,2,1,16,2,4,2,11,7,5,No
1287,33,Travel_Frequently,1045,Sales,6,2,Other,1,Male,32,2,4,Human Resources,1,Married,19390,24101,6,Yes,22,4,1,1,38,0,4,37,7,2,8,Yes
1288,41,Non-Travel,1062,Sales,16,3,Marketing,3,Male,31,1,4,Healthcare Representative,4,Married,10978,13439,5,No,15,4,1,1,37,5,3,27,4,2,5,No
1289,36,Travel_Rarely,1437,Human Resources,20,2,Life Sciences,1,Male,45,1,2,Manager,1,Married,18793,5134,7,Yes,24,4,2,2,39,6,3,37,16,2,16,Yes
1290,25,Travel_Rarely,1284,Research & Development,16,2,Other,4,Male,35,3,4,Laboratory Technician,1,Single,19146,4598,7,No,23,3,2,0,18,5,1,5,9,8,7,No
